Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,restaurant\restaurant.csproj,File,restaurant\restaurant.csproj,,,Microcharts.Maui 1.0.1,,,,,"Microcharts.Maui, 1.0.1  Recommendation:  No supported version found"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,restaurant\restaurant.csproj,File,restaurant\restaurant.csproj,,,Microsoft.Extensions.Logging.Debug 8.0.0,,,,,"Microsoft.Extensions.Logging.Debug, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Logging.Debug, and replace with new package Microsoft.Extensions.Logging.Debug 10.0.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,restaurant\restaurant.csproj,File,restaurant\restaurant.csproj,,,,,,,,Current target framework: net8.0-android33.0;net8.0-windows10.0.19041.0 Recommended target framework: net8.0-android33.0;net8.0-windows10.0.19041.0;net10.0-windows
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,restaurant\restaurant.csproj,File,restaurant\ViewModels\CookOrdersViewModel.cs,43,12,M:System.TimeSpan.FromSeconds(System.Double),,,,,_refreshTimer.Interval = TimeSpan.FromSeconds(10);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,restaurant\restaurant.csproj,File,restaurant\ViewModels\CookOrdersViewModel.cs,43,12,M:System.TimeSpan.FromSeconds(System.Double),,,,,_refreshTimer.Interval = TimeSpan.FromSeconds(10);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,restaurant\restaurant.csproj,File,restaurant\ViewModels\AskAIViewModel.cs,88,24,T:System.Net.Http.HttpContent,,,,,"AiResponse = $""Error: {response.StatusCode} - {await response.Content.ReadAsStringAsync()}"";"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,restaurant\restaurant.csproj,File,restaurant\ViewModels\AskAIViewModel.cs,79,24,T:System.Net.Http.HttpContent,,,,,var responseString = await response.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,restaurant\restaurant.csproj,File,restaurant\ViewModels\CheckInvenViewModel.cs,158,20,T:System.Net.Http.HttpContent,,,,,string json = await dhtResponse.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,restaurant\restaurant.csproj,File,restaurant\ViewModels\CheckInvenViewModel.cs,146,20,T:System.Net.Http.HttpContent,,,,,string tuJson = await tempUnitResponse.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,restaurant\restaurant.csproj,File,restaurant\ViewModels\CheckInvenViewModel.cs,95,20,T:System.Net.Http.HttpContent,,,,,string jsonResponse = await response.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,restaurant\restaurant.csproj,File,restaurant\ViewModels\AddMenuItemViewModel.cs,231,16,T:System.Net.Http.HttpContent,,,,,var responseString = await response.Content.ReadAsStringAsync();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,restaurant\restaurant.csproj,File,restaurant\ViewModels\WaiterOrdersViewModel.cs,66,12,M:System.TimeSpan.FromSeconds(System.Double),,,,,_refreshTimer.Interval = TimeSpan.FromSeconds(10);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,restaurant\restaurant.csproj,File,restaurant\ViewModels\WaiterOrdersViewModel.cs,66,12,M:System.TimeSpan.FromSeconds(System.Double),,,,,_refreshTimer.Interval = TimeSpan.FromSeconds(10);
